Vardas         Pavarde        Galutinis 
Vardas380      Pavarde380     3.28      
Vardas383      Pavarde383     2.92      
Vardas384      Pavarde384     3.44      
Vardas386      Pavarde386     3.08      
Vardas388      Pavarde388     3.20      
Vardas390      Pavarde390     3.64      
Vardas399      Pavarde399     4.84      
Vardas403      Pavarde403     4.56      
Vardas408      Pavarde408     4.40      
Vardas409      Pavarde409     3.00      
Vardas410      Pavarde410     3.04      
Vardas411      Pavarde411     4.04      
Vardas412      Pavarde412     4.44      
Vardas415      Pavarde415     2.92      
Vardas416      Pavarde416     2.44      
Vardas422      Pavarde422     4.80      
Vardas424      Pavarde424     4.92      
Vardas427      Pavarde427     2.76      
Vardas428      Pavarde428     4.96      
Vardas431      Pavarde431     2.24      
Vardas434      Pavarde434     4.20      
Vardas435      Pavarde435     3.76      
Vardas436      Pavarde436     4.00      
Vardas437      Pavarde437     2.96      
Vardas439      Pavarde439     2.92      
Vardas440      Pavarde440     4.16      
Vardas441      Pavarde441     3.08      
Vardas442      Pavarde442     4.72      
Vardas443      Pavarde443     4.76      
Vardas444      Pavarde444     3.00      
Vardas445      Pavarde445     2.60      
Vardas448      Pavarde448     4.60      
Vardas452      Pavarde452     4.32      
Vardas454      Pavarde454     3.28      
Vardas455      Pavarde455     3.64      
Vardas457      Pavarde457     4.64      
Vardas458      Pavarde458     3.16      
Vardas461      Pavarde461     4.56      
Vardas463      Pavarde463     3.72      
Vardas464      Pavarde464     3.16      
Vardas465      Pavarde465     2.84      
Vardas469      Pavarde469     3.20      
Vardas470      Pavarde470     2.88      
Vardas471      Pavarde471     3.96      
Vardas477      Pavarde477     3.48      
Vardas478      Pavarde478     3.68      
Vardas480      Pavarde480     4.40      
Vardas482      Pavarde482     3.16      
Vardas483      Pavarde483     4.36      
Vardas484      Pavarde484     4.80      
Vardas485      Pavarde485     4.68      
Vardas488      Pavarde488     3.24      
Vardas489      Pavarde489     3.96      
Vardas490      Pavarde490     3.00      
Vardas491      Pavarde491     4.80      
Vardas501      Pavarde501     3.32      
Vardas502      Pavarde502     3.60      
Vardas503      Pavarde503     4.76      
Vardas508      Pavarde508     4.24      
Vardas509      Pavarde509     4.40      
Vardas510      Pavarde510     2.44      
Vardas515      Pavarde515     4.04      
Vardas516      Pavarde516     4.64      
Vardas520      Pavarde520     3.68      
Vardas521      Pavarde521     2.84      
Vardas522      Pavarde522     3.48      
Vardas524      Pavarde524     3.80      
Vardas525      Pavarde525     3.52      
Vardas526      Pavarde526     3.20      
Vardas528      Pavarde528     4.96      
Vardas530      Pavarde530     3.84      
Vardas534      Pavarde534     4.80      
Vardas535      Pavarde535     2.72      
Vardas536      Pavarde536     4.12      
Vardas538      Pavarde538     4.32      
Vardas541      Pavarde541     4.80      
Vardas543      Pavarde543     3.24      
Vardas544      Pavarde544     4.36      
Vardas545      Pavarde545     3.60      
Vardas546      Pavarde546     3.88      
Vardas547      Pavarde547     3.16      
Vardas549      Pavarde549     3.84      
Vardas553      Pavarde553     3.12      
Vardas554      Pavarde554     3.20      
Vardas556      Pavarde556     3.80      
Vardas559      Pavarde559     4.68      
Vardas561      Pavarde561     4.16      
Vardas563      Pavarde563     4.64      
Vardas565      Pavarde565     4.96      
Vardas569      Pavarde569     4.76      
Vardas570      Pavarde570     3.28      
Vardas571      Pavarde571     4.84      
Vardas577      Pavarde577     1.88      
Vardas578      Pavarde578     3.04      
Vardas579      Pavarde579     2.20      
Vardas582      Pavarde582     3.56      
Vardas583      Pavarde583     2.36      
Vardas588      Pavarde588     4.52      
Vardas590      Pavarde590     3.56      
Vardas591      Pavarde591     3.44      
Vardas593      Pavarde593     2.52      
Vardas595      Pavarde595     3.08      
Vardas597      Pavarde597     3.88      
Vardas598      Pavarde598     3.68      
Vardas599      Pavarde599     4.84      
Vardas601      Pavarde601     3.72      
Vardas603      Pavarde603     4.56      
Vardas606      Pavarde606     3.08      
Vardas607      Pavarde607     4.76      
Vardas611      Pavarde611     4.68      
Vardas612      Pavarde612     3.96      
Vardas613      Pavarde613     4.04      
Vardas619      Pavarde619     4.12      
Vardas620      Pavarde620     3.56      
Vardas621      Pavarde621     4.36      
Vardas625      Pavarde625     3.04      
Vardas627      Pavarde627     4.80      
Vardas629      Pavarde629     3.64      
Vardas638      Pavarde638     2.84      
Vardas640      Pavarde640     4.32      
Vardas643      Pavarde643     4.16      
Vardas644      Pavarde644     4.12      
Vardas645      Pavarde645     3.24      
Vardas647      Pavarde647     3.88      
Vardas649      Pavarde649     2.64      
Vardas650      Pavarde650     4.84      
Vardas651      Pavarde651     2.28      
Vardas652      Pavarde652     4.84      
Vardas654      Pavarde654     4.00      
Vardas657      Pavarde657     3.72      
Vardas658      Pavarde658     2.20      
Vardas659      Pavarde659     2.20      
Vardas660      Pavarde660     3.84      
Vardas663      Pavarde663     3.56      
Vardas664      Pavarde664     3.60      
Vardas669      Pavarde669     3.88      
Vardas670      Pavarde670     4.52      
Vardas677      Pavarde677     3.76      
Vardas678      Pavarde678     4.56      
Vardas679      Pavarde679     3.52      
Vardas685      Pavarde685     3.00      
Vardas689      Pavarde689     2.04      
Vardas690      Pavarde690     4.20      
Vardas691      Pavarde691     3.64      
Vardas692      Pavarde692     2.88      
Vardas697      Pavarde697     2.12      
Vardas698      Pavarde698     3.80      
Vardas700      Pavarde700     4.12      
Vardas702      Pavarde702     2.68      
Vardas704      Pavarde704     3.40      
Vardas706      Pavarde706     3.28      
Vardas707      Pavarde707     4.56      
Vardas709      Pavarde709     4.32      
Vardas710      Pavarde710     3.80      
Vardas716      Pavarde716     4.72      
Vardas719      Pavarde719     2.56      
Vardas722      Pavarde722     3.08      
Vardas723      Pavarde723     4.24      
Vardas728      Pavarde728     4.56      
Vardas729      Pavarde729     4.00      
Vardas731      Pavarde731     2.96      
Vardas734      Pavarde734     4.44      
Vardas738      Pavarde738     4.64      
Vardas744      Pavarde744     4.76      
Vardas747      Pavarde747     3.68      
Vardas749      Pavarde749     4.48      
Vardas751      Pavarde751     2.20      
Vardas752      Pavarde752     3.32      
Vardas760      Pavarde760     2.44      
Vardas762      Pavarde762     2.32      
Vardas763      Pavarde763     4.92      
Vardas765      Pavarde765     3.80      
Vardas766      Pavarde766     4.52      
Vardas767      Pavarde767     3.04      
Vardas770      Pavarde770     4.16      
Vardas778      Pavarde778     4.84      
Vardas780      Pavarde780     4.56      
Vardas784      Pavarde784     4.40      
Vardas786      Pavarde786     3.44      
Vardas787      Pavarde787     3.36      
Vardas788      Pavarde788     4.32      
Vardas789      Pavarde789     3.76      
Vardas792      Pavarde792     3.60      
Vardas794      Pavarde794     3.72      
Vardas795      Pavarde795     3.68      
Vardas797      Pavarde797     4.92      
Vardas798      Pavarde798     3.88      
Vardas799      Pavarde799     2.80      
Vardas801      Pavarde801     4.28      
Vardas802      Pavarde802     3.84      
Vardas803      Pavarde803     2.80      
Vardas809      Pavarde809     3.68      
Vardas810      Pavarde810     3.84      
Vardas811      Pavarde811     2.12      
Vardas814      Pavarde814     3.52      
Vardas816      Pavarde816     4.92      
Vardas826      Pavarde826     3.68      
Vardas827      Pavarde827     2.92      
Vardas828      Pavarde828     2.72      
Vardas830      Pavarde830     3.16      
Vardas833      Pavarde833     3.48      
Vardas834      Pavarde834     3.88      
Vardas837      Pavarde837     4.04      
Vardas839      Pavarde839     2.76      
Vardas840      Pavarde840     3.60      
Vardas846      Pavarde846     4.72      
Vardas847      Pavarde847     2.52      
Vardas849      Pavarde849     3.60      
Vardas850      Pavarde850     3.96      
Vardas853      Pavarde853     2.88      
Vardas855      Pavarde855     2.28      
Vardas856      Pavarde856     4.60      
Vardas861      Pavarde861     4.12      
Vardas862      Pavarde862     4.08      
Vardas867      Pavarde867     4.88      
Vardas868      Pavarde868     4.32      
Vardas869      Pavarde869     2.76      
Vardas870      Pavarde870     4.32      
Vardas873      Pavarde873     3.52      
Vardas877      Pavarde877     1.88      
Vardas878      Pavarde878     3.36      
Vardas882      Pavarde882     4.36      
Vardas886      Pavarde886     4.16      
Vardas888      Pavarde888     4.24      
Vardas891      Pavarde891     4.20      
Vardas893      Pavarde893     3.96      
Vardas896      Pavarde896     4.92      
Vardas898      Pavarde898     3.72      
Vardas899      Pavarde899     3.96      
Vardas902      Pavarde902     4.40      
Vardas904      Pavarde904     4.48      
Vardas906      Pavarde906     2.68      
Vardas907      Pavarde907     2.52      
Vardas908      Pavarde908     3.16      
Vardas911      Pavarde911     2.76      
Vardas919      Pavarde919     2.76      
Vardas920      Pavarde920     2.20      
Vardas922      Pavarde922     1.96      
Vardas927      Pavarde927     4.08      
Vardas928      Pavarde928     4.32      
Vardas930      Pavarde930     4.32      
Vardas932      Pavarde932     4.84      
Vardas934      Pavarde934     2.04      
Vardas935      Pavarde935     4.00      
Vardas936      Pavarde936     2.92      
Vardas939      Pavarde939     4.72      
Vardas941      Pavarde941     4.20      
Vardas942      Pavarde942     2.84      
Vardas943      Pavarde943     4.00      
Vardas944      Pavarde944     4.84      
Vardas950      Pavarde950     4.08      
Vardas952      Pavarde952     3.60      
Vardas954      Pavarde954     4.00      
Vardas955      Pavarde955     2.52      
Vardas956      Pavarde956     3.60      
Vardas957      Pavarde957     2.64      
Vardas958      Pavarde958     3.08      
Vardas960      Pavarde960     4.16      
Vardas961      Pavarde961     4.12      
Vardas962      Pavarde962     4.08      
Vardas964      Pavarde964     3.52      
Vardas966      Pavarde966     4.52      
Vardas967      Pavarde967     3.64      
Vardas973      Pavarde973     1.88      
Vardas979      Pavarde979     4.00      
Vardas986      Pavarde986     3.76      
Vardas990      Pavarde990     4.44      
Vardas991      Pavarde991     3.88      
Vardas992      Pavarde992     2.44      
Vardas993      Pavarde993     3.60      
Vardas997      Pavarde997     2.76      
Vardas999      Pavarde999     3.84      
Vardas1000     Pavarde1000    2.60      
