Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas62 Pavarde62 6 9 3 9 4 7
Vardas63 Pavarde63 8 5 3 1 7 10
Vardas64 Pavarde64 1 8 5 2 5 3
Vardas65 Pavarde65 7 7 6 4 8 5
Vardas66 Pavarde66 8 5 8 5 9 6
Vardas67 Pavarde67 10 4 1 1 1 5
Vardas68 Pavarde68 8 4 4 7 5 6
Vardas69 Pavarde69 6 6 7 10 4 3
Vardas70 Pavarde70 6 6 2 3 1 7
Vardas71 Pavarde71 4 3 3 1 1 1
Vardas72 Pavarde72 6 7 6 8 7 5
Vardas73 Pavarde73 3 9 4 4 7 7
Vardas74 Pavarde74 7 5 8 3 9 1
Vardas75 Pavarde75 8 8 9 10 10 10
Vardas76 Pavarde76 1 1 7 4 6 10
Vardas77 Pavarde77 4 9 3 9 8 8
Vardas78 Pavarde78 10 3 4 8 7 2
Vardas79 Pavarde79 8 10 5 2 5 10
Vardas80 Pavarde80 7 3 7 1 3 1
Vardas81 Pavarde81 2 1 4 7 10 1
Vardas82 Pavarde82 6 4 9 3 10 4
Vardas83 Pavarde83 4 3 10 10 4 5
Vardas84 Pavarde84 3 6 5 3 10 2
Vardas85 Pavarde85 2 7 5 2 1 1
Vardas86 Pavarde86 1 2 8 4 3 9
Vardas87 Pavarde87 3 4 6 5 10 2
Vardas88 Pavarde88 7 6 6 9 4 8
Vardas89 Pavarde89 9 1 3 1 10 7
Vardas90 Pavarde90 7 6 8 5 1 2
Vardas91 Pavarde91 2 4 7 9 8 2
Vardas92 Pavarde92 2 7 2 4 8 5
Vardas93 Pavarde93 7 5 2 8 1 1
Vardas94 Pavarde94 7 9 10 1 5 1
Vardas95 Pavarde95 7 3 10 8 5 8
Vardas96 Pavarde96 5 3 10 1 4 2
Vardas97 Pavarde97 3 9 3 5 9 7
Vardas98 Pavarde98 2 10 6 9 5 7
Vardas99 Pavarde99 7 1 8 7 3 2
Vardas100 Pavarde100 2 7 10 4 10 4
Vardas101 Pavarde101 7 7 6 6 7 1
Vardas102 Pavarde102 7 7 9 9 8 7
Vardas103 Pavarde103 3 2 7 4 1 7
Vardas104 Pavarde104 4 1 6 6 1 6
Vardas105 Pavarde105 10 7 5 1 8 2
Vardas106 Pavarde106 8 8 8 10 9 9
Vardas107 Pavarde107 3 4 2 10 1 3
Vardas108 Pavarde108 10 3 7 4 8 5
Vardas109 Pavarde109 2 9 6 1 7 6
Vardas110 Pavarde110 10 4 8 4 8 10
Vardas111 Pavarde111 2 10 8 10 1 6
Vardas112 Pavarde112 1 8 2 1 8 8
Vardas113 Pavarde113 5 2 1 5 7 10
Vardas114 Pavarde114 8 5 3 6 2 5
Vardas115 Pavarde115 7 4 6 10 1 10
Vardas116 Pavarde116 4 8 2 3 9 3
Vardas117 Pavarde117 3 2 8 2 2 6
Vardas118 Pavarde118 2 9 3 6 10 9
Vardas119 Pavarde119 9 3 1 10 6 8
Vardas120 Pavarde120 3 9 6 9 6 2
Vardas121 Pavarde121 2 2 3 2 2 6
Vardas122 Pavarde122 9 5 10 7 7 4
Vardas123 Pavarde123 4 6 4 6 10 3
Vardas124 Pavarde124 10 1 9 9 4 9
Vardas125 Pavarde125 3 4 5 3 6 2
Vardas126 Pavarde126 4 3 1 5 8 6
Vardas127 Pavarde127 7 2 5 10 6 4
Vardas128 Pavarde128 8 5 9 3 4 1
Vardas129 Pavarde129 6 4 10 2 4 7
Vardas130 Pavarde130 4 10 8 2 10 5
Vardas131 Pavarde131 10 10 9 6 8 8
Vardas132 Pavarde132 6 7 7 2 8 1
Vardas133 Pavarde133 9 3 3 8 10 2
Vardas134 Pavarde134 9 7 6 3 8 4
Vardas135 Pavarde135 2 3 7 1 5 7
Vardas136 Pavarde136 7 3 2 3 8 3
Vardas137 Pavarde137 4 2 9 9 6 9
Vardas138 Pavarde138 2 8 10 9 2 1
Vardas139 Pavarde139 5 4 6 8 2 7
Vardas140 Pavarde140 2 5 7 3 4 8
Vardas141 Pavarde141 7 8 3 6 6 6
Vardas142 Pavarde142 5 4 5 10 8 6
Vardas143 Pavarde143 3 2 4 9 3 4
Vardas144 Pavarde144 8 8 2 2 2 4
Vardas145 Pavarde145 10 1 8 1 2 10
Vardas146 Pavarde146 7 9 9 6 4 10
Vardas147 Pavarde147 6 6 3 5 4 6
Vardas148 Pavarde148 10 6 8 10 1 10
Vardas149 Pavarde149 8 3 5 1 10 3
Vardas150 Pavarde150 2 1 3 2 2 4
Vardas151 Pavarde151 8 3 4 8 5 10
Vardas152 Pavarde152 9 4 3 8 1 6
Vardas153 Pavarde153 1 1 1 3 4 5
Vardas154 Pavarde154 9 2 6 4 5 9
Vardas155 Pavarde155 8 3 6 4 9 1
Vardas156 Pavarde156 10 2 9 10 10 3
Vardas157 Pavarde157 9 10 3 5 7 4
Vardas158 Pavarde158 1 6 4 5 4 7
Vardas159 Pavarde159 3 10 8 9 3 10
Vardas160 Pavarde160 7 2 7 1 4 5
Vardas161 Pavarde161 8 9 6 7 9 5
Vardas162 Pavarde162 1 9 6 9 3 1
Vardas163 Pavarde163 6 8 2 10 8 8
Vardas164 Pavarde164 4 8 3 4 2 5
Vardas165 Pavarde165 8 6 10 6 5 3
Vardas166 Pavarde166 3 7 9 1 6 6
Vardas167 Pavarde167 1 9 5 10 4 7
Vardas168 Pavarde168 1 10 3 4 5 10
Vardas169 Pavarde169 5 7 5 1 1 2
Vardas170 Pavarde170 6 7 6 8 8 5
Vardas171 Pavarde171 2 2 10 1 5 7
Vardas172 Pavarde172 4 9 1 1 6 2
Vardas173 Pavarde173 5 10 7 8 5 10
Vardas174 Pavarde174 4 3 9 3 10 6
Vardas175 Pavarde175 9 9 8 9 10 4
Vardas176 Pavarde176 4 3 2 6 3 3
Vardas177 Pavarde177 7 4 1 8 1 3
Vardas178 Pavarde178 9 5 1 9 10 5
Vardas179 Pavarde179 4 9 5 5 1 7
Vardas180 Pavarde180 10 9 5 8 8 5
Vardas181 Pavarde181 6 9 7 3 1 4
Vardas182 Pavarde182 9 9 5 2 6 6
Vardas183 Pavarde183 9 10 9 7 9 7
Vardas184 Pavarde184 9 2 4 1 1 6
Vardas185 Pavarde185 9 2 7 8 10 2
Vardas186 Pavarde186 3 9 2 1 7 10
Vardas187 Pavarde187 7 7 1 3 7 1
Vardas188 Pavarde188 6 10 6 1 9 8
Vardas189 Pavarde189 4 1 3 2 2 1
Vardas190 Pavarde190 9 4 3 8 5 9
Vardas191 Pavarde191 4 5 10 5 8 1
Vardas192 Pavarde192 10 8 4 3 9 1
Vardas193 Pavarde193 3 5 3 7 9 3
Vardas194 Pavarde194 3 4 10 10 4 3
Vardas195 Pavarde195 2 7 10 4 10 7
Vardas196 Pavarde196 9 4 5 4 5 10
Vardas197 Pavarde197 6 6 3 8 8 7
Vardas198 Pavarde198 6 2 9 10 1 10
Vardas199 Pavarde199 4 9 3 7 5 4
Vardas200 Pavarde200 9 6 6 7 9 6
Vardas201 Pavarde201 4 9 8 5 8 1
Vardas202 Pavarde202 2 5 2 9 3 4
Vardas203 Pavarde203 3 7 5 1 10 3
Vardas204 Pavarde204 1 3 7 7 2 1
Vardas205 Pavarde205 3 3 7 1 7 7
Vardas206 Pavarde206 6 9 2 9 7 10
Vardas207 Pavarde207 10 5 8 8 2 7
Vardas208 Pavarde208 1 4 8 6 2 4
Vardas209 Pavarde209 6 5 10 6 4 9
Vardas210 Pavarde210 9 9 7 9 6 4
Vardas211 Pavarde211 5 1 5 5 6 2
Vardas212 Pavarde212 2 2 5 6 10 6
Vardas213 Pavarde213 9 7 8 4 6 2
Vardas214 Pavarde214 10 2 5 3 4 4
Vardas215 Pavarde215 2 6 10 5 3 5
Vardas216 Pavarde216 4 3 6 2 5 5
Vardas217 Pavarde217 6 7 9 9 5 10
Vardas218 Pavarde218 9 1 10 4 4 2
Vardas219 Pavarde219 10 4 9 7 7 7
Vardas220 Pavarde220 6 7 9 4 2 1
Vardas221 Pavarde221 9 1 4 2 1 1
Vardas222 Pavarde222 3 7 5 3 2 2
Vardas223 Pavarde223 10 1 8 3 3 9
Vardas224 Pavarde224 7 3 6 5 8 3
Vardas225 Pavarde225 7 8 7 6 9 8
Vardas226 Pavarde226 4 7 2 1 7 10
Vardas227 Pavarde227 4 5 1 3 1 8
Vardas228 Pavarde228 7 10 6 8 5 4
Vardas229 Pavarde229 10 2 4 1 6 8
Vardas230 Pavarde230 10 2 7 5 7 4
Vardas231 Pavarde231 3 3 2 1 5 5
Vardas232 Pavarde232 5 9 10 10 6 8
Vardas233 Pavarde233 10 10 6 6 1 1
Vardas234 Pavarde234 8 10 4 4 8 7
Vardas235 Pavarde235 3 2 3 8 5 1
Vardas236 Pavarde236 5 2 7 4 9 5
Vardas237 Pavarde237 8 10 7 10 3 7
Vardas238 Pavarde238 3 1 9 6 3 7
Vardas239 Pavarde239 1 7 10 5 7 10
Vardas240 Pavarde240 2 4 2 8 6 3
Vardas241 Pavarde241 2 1 2 9 8 2
Vardas242 Pavarde242 4 7 7 2 4 8
Vardas243 Pavarde243 5 7 4 2 3 10
Vardas244 Pavarde244 4 1 9 9 6 10
Vardas245 Pavarde245 9 7 2 8 10 4
Vardas246 Pavarde246 9 10 5 4 2 3
Vardas247 Pavarde247 7 2 9 4 3 4
Vardas248 Pavarde248 5 5 5 7 3 8
Vardas249 Pavarde249 6 7 5 3 8 3
Vardas250 Pavarde250 5 9 5 4 8 6
Vardas251 Pavarde251 9 5 1 9 10 7
Vardas252 Pavarde252 8 9 3 1 9 8
Vardas253 Pavarde253 8 8 4 1 5 4
Vardas254 Pavarde254 3 7 10 10 3 8
Vardas255 Pavarde255 3 7 3 7 9 10
Vardas256 Pavarde256 3 3 5 1 3 7
Vardas257 Pavarde257 1 6 3 9 4 5
Vardas258 Pavarde258 8 7 2 3 5 10
Vardas259 Pavarde259 1 4 9 1 7 2
Vardas260 Pavarde260 9 8 8 6 8 5
Vardas261 Pavarde261 3 4 6 6 4 8
Vardas262 Pavarde262 1 1 3 2 7 6
Vardas263 Pavarde263 8 7 1 9 5 8
Vardas264 Pavarde264 5 8 8 10 6 10
Vardas265 Pavarde265 3 8 2 10 7 1
Vardas266 Pavarde266 6 7 10 2 8 8
Vardas267 Pavarde267 2 7 6 5 6 4
Vardas268 Pavarde268 4 10 7 1 5 4
Vardas269 Pavarde269 10 2 7 10 6 10
Vardas270 Pavarde270 5 8 9 2 2 6
Vardas271 Pavarde271 5 8 5 7 4 7
Vardas272 Pavarde272 5 5 7 5 5 3
Vardas273 Pavarde273 4 9 3 2 9 9
Vardas274 Pavarde274 10 8 8 4 2 4
Vardas275 Pavarde275 7 7 6 3 2 9
Vardas276 Pavarde276 1 2 7 5 5 1
Vardas277 Pavarde277 10 6 10 4 1 4
Vardas278 Pavarde278 6 6 4 4 5 3
Vardas279 Pavarde279 6 1 1 3 1 9
Vardas280 Pavarde280 2 9 10 1 7 9
Vardas281 Pavarde281 4 5 6 10 9 7
Vardas282 Pavarde282 4 1 4 2 8 1
Vardas283 Pavarde283 4 6 2 1 4 6
Vardas284 Pavarde284 9 5 8 9 10 5
Vardas285 Pavarde285 1 2 6 5 8 5
Vardas286 Pavarde286 5 4 1 1 6 9
Vardas287 Pavarde287 7 2 8 6 8 8
Vardas288 Pavarde288 9 6 2 2 2 8
Vardas289 Pavarde289 10 8 8 3 8 2
Vardas290 Pavarde290 2 4 10 9 8 7
Vardas291 Pavarde291 5 10 9 10 8 1
Vardas292 Pavarde292 10 3 5 9 7 6
Vardas293 Pavarde293 1 3 7 9 6 2
Vardas294 Pavarde294 2 2 1 7 4 1
Vardas295 Pavarde295 3 9 2 7 3 5
Vardas296 Pavarde296 3 9 5 3 6 8
Vardas297 Pavarde297 3 4 6 5 5 5
Vardas298 Pavarde298 4 3 3 4 5 4
Vardas299 Pavarde299 7 5 5 7 7 4
Vardas300 Pavarde300 1 3 9 9 3 2
Vardas301 Pavarde301 10 1 10 5 5 7
Vardas302 Pavarde302 10 10 8 1 8 3
Vardas303 Pavarde303 6 1 6 7 6 4
Vardas304 Pavarde304 2 3 10 10 7 5
Vardas305 Pavarde305 2 1 4 4 6 6
Vardas306 Pavarde306 1 9 9 8 1 4
Vardas307 Pavarde307 5 6 3 4 10 1
Vardas308 Pavarde308 10 4 1 8 10 8
Vardas309 Pavarde309 3 6 7 4 9 4
Vardas310 Pavarde310 3 6 9 9 2 4
Vardas311 Pavarde311 5 7 8 2 9 9
Vardas312 Pavarde312 1 4 3 9 5 10
Vardas313 Pavarde313 7 3 9 8 6 8
Vardas314 Pavarde314 10 8 10 6 7 1
Vardas315 Pavarde315 4 10 4 10 3 1
Vardas316 Pavarde316 7 7 10 9 9 3
Vardas317 Pavarde317 7 5 6 4 7 10
Vardas318 Pavarde318 10 2 5 3 5 5
Vardas319 Pavarde319 7 6 6 5 5 5
Vardas320 Pavarde320 2 7 4 9 6 1
Vardas321 Pavarde321 8 2 4 9 5 1
Vardas322 Pavarde322 3 8 7 1 9 9
Vardas323 Pavarde323 8 7 6 7 1 10
Vardas324 Pavarde324 4 8 4 6 1 9
Vardas325 Pavarde325 5 4 8 6 10 2
Vardas326 Pavarde326 8 7 10 5 8 2
Vardas327 Pavarde327 1 10 7 1 5 8
Vardas328 Pavarde328 9 7 4 9 6 4
Vardas329 Pavarde329 2 5 10 6 4 1
Vardas330 Pavarde330 2 4 7 2 2 8
Vardas331 Pavarde331 9 5 2 3 3 3
Vardas332 Pavarde332 1 7 2 7 5 7
Vardas333 Pavarde333 2 3 6 9 5 5
Vardas334 Pavarde334 3 7 5 5 4 3
Vardas335 Pavarde335 9 1 2 4 9 10
Vardas336 Pavarde336 3 7 3 7 5 5
Vardas337 Pavarde337 2 7 8 8 4 3
Vardas338 Pavarde338 6 8 8 2 5 10
Vardas339 Pavarde339 2 3 10 1 9 4
Vardas340 Pavarde340 6 10 3 1 5 4
Vardas341 Pavarde341 9 3 5 7 10 2
Vardas342 Pavarde342 2 4 1 9 1 10
Vardas343 Pavarde343 6 8 5 2 5 10
Vardas344 Pavarde344 1 7 4 5 9 10
Vardas345 Pavarde345 3 6 2 9 7 2
Vardas346 Pavarde346 3 2 6 4 9 6
Vardas347 Pavarde347 2 10 3 3 10 6
Vardas348 Pavarde348 1 1 8 1 2 5
Vardas349 Pavarde349 5 4 6 9 5 2
Vardas350 Pavarde350 9 10 6 7 6 6
Vardas351 Pavarde351 10 4 4 6 8 5
Vardas352 Pavarde352 9 10 1 2 5 4
Vardas353 Pavarde353 2 1 5 6 3 1
Vardas354 Pavarde354 9 9 5 3 7 2
Vardas355 Pavarde355 1 2 8 3 3 5
Vardas356 Pavarde356 5 7 6 4 4 6
Vardas357 Pavarde357 5 5 2 2 7 5
Vardas358 Pavarde358 9 1 5 5 5 1
Vardas359 Pavarde359 5 5 5 4 10 4
Vardas360 Pavarde360 3 3 9 4 10 9
Vardas361 Pavarde361 7 5 4 2 9 6
Vardas362 Pavarde362 9 6 3 2 3 8
Vardas363 Pavarde363 2 8 9 10 4 1
Vardas364 Pavarde364 10 2 8 8 3 2
Vardas365 Pavarde365 2 5 10 10 5 6
Vardas366 Pavarde366 9 6 6 7 5 7
Vardas367 Pavarde367 4 3 8 7 5 8
Vardas368 Pavarde368 8 6 6 8 2 1
Vardas369 Pavarde369 10 2 7 8 1 9
Vardas370 Pavarde370 10 9 3 1 1 7
Vardas371 Pavarde371 5 6 6 2 2 10
Vardas372 Pavarde372 5 8 1 3 6 6
Vardas373 Pavarde373 10 10 8 3 3 1
Vardas374 Pavarde374 5 9 8 3 2 5
Vardas375 Pavarde375 8 9 4 1 5 4
Vardas376 Pavarde376 4 1 10 5 7 8
Vardas377 Pavarde377 3 9 5 5 10 3
Vardas378 Pavarde378 6 7 1 3 2 7
Vardas379 Pavarde379 6 2 4 8 6 9
Vardas380 Pavarde380 3 8 7 4 5 3
Vardas381 Pavarde381 9 1 2 5 4 2
Vardas382 Pavarde382 10 4 10 1 9 6
Vardas383 Pavarde383 5 6 6 1 1 5
Vardas384 Pavarde384 1 2 8 4 10 8
Vardas385 Pavarde385 1 5 10 7 3 3
Vardas386 Pavarde386 1 5 4 6 8 8
Vardas387 Pavarde387 7 9 6 5 2 3
Vardas388 Pavarde388 6 2 3 5 9 6
Vardas389 Pavarde389 9 8 5 8 8 2
Vardas390 Pavarde390 6 5 2 7 3 1
Vardas391 Pavarde391 3 2 9 7 6 6
Vardas392 Pavarde392 8 9 4 6 2 2
Vardas393 Pavarde393 3 6 2 5 9 9
Vardas394 Pavarde394 5 4 2 9 2 6
Vardas395 Pavarde395 6 7 6 3 1 4
Vardas396 Pavarde396 4 10 5 10 7 3
Vardas397 Pavarde397 5 8 3 6 1 10
Vardas398 Pavarde398 2 8 3 7 4 1
Vardas399 Pavarde399 7 1 5 7 3 10
Vardas400 Pavarde400 9 6 10 10 2 10
Vardas401 Pavarde401 2 1 3 4 5 7
Vardas402 Pavarde402 7 5 3 7 1 1
Vardas403 Pavarde403 7 9 9 2 4 3
Vardas404 Pavarde404 5 4 9 6 6 1
Vardas405 Pavarde405 1 2 7 6 5 4
Vardas406 Pavarde406 1 2 8 7 6 5
Vardas407 Pavarde407 3 2 7 7 4 6
Vardas408 Pavarde408 5 5 8 2 2 2
Vardas409 Pavarde409 9 1 7 4 5 10
Vardas410 Pavarde410 2 10 2 8 4 7
Vardas411 Pavarde411 9 4 10 3 9 5
Vardas412 Pavarde412 9 9 7 4 6 9
Vardas413 Pavarde413 3 9 6 2 10 2
Vardas414 Pavarde414 9 1 10 7 5 6
Vardas415 Pavarde415 10 2 4 3 6 5
Vardas416 Pavarde416 1 9 4 3 5 1
Vardas417 Pavarde417 1 9 2 1 4 9
Vardas418 Pavarde418 6 8 5 7 10 6
Vardas419 Pavarde419 8 2 9 6 7 4
Vardas420 Pavarde420 10 1 9 5 4 8
Vardas421 Pavarde421 8 6 3 6 5 7
Vardas422 Pavarde422 7 3 7 3 9 3
Vardas423 Pavarde423 3 10 7 2 4 2
Vardas424 Pavarde424 6 5 6 1 2 9
Vardas425 Pavarde425 5 7 2 5 6 10
Vardas426 Pavarde426 1 6 8 8 8 2
Vardas427 Pavarde427 5 3 5 1 8 10
Vardas428 Pavarde428 6 10 4 7 1 3
Vardas429 Pavarde429 10 6 5 5 8 7
Vardas430 Pavarde430 1 1 7 7 5 7
Vardas431 Pavarde431 3 8 8 10 2 6
Vardas432 Pavarde432 5 7 6 4 10 10
Vardas433 Pavarde433 6 8 8 2 5 3
Vardas434 Pavarde434 5 7 4 6 1 10
Vardas435 Pavarde435 1 5 5 10 9 9
Vardas436 Pavarde436 10 5 6 4 1 2
Vardas437 Pavarde437 1 2 9 6 6 7
Vardas438 Pavarde438 4 3 9 4 2 4
Vardas439 Pavarde439 8 10 2 6 8 3
Vardas440 Pavarde440 3 6 3 5 2 2
Vardas441 Pavarde441 1 1 6 5 1 9
Vardas442 Pavarde442 9 10 3 5 6 8
Vardas443 Pavarde443 9 7 3 5 3 9
Vardas444 Pavarde444 9 8 2 1 8 6
Vardas445 Pavarde445 2 3 8 10 8 4
Vardas446 Pavarde446 5 3 2 2 4 5
Vardas447 Pavarde447 1 7 7 9 7 3
Vardas448 Pavarde448 3 7 5 5 8 9
Vardas449 Pavarde449 4 6 5 6 6 7
Vardas450 Pavarde450 2 3 7 10 8 4
Vardas451 Pavarde451 3 6 8 9 10 2
Vardas452 Pavarde452 1 5 1 7 5 8
Vardas453 Pavarde453 3 9 3 4 5 4
Vardas454 Pavarde454 8 7 9 6 2 8
Vardas455 Pavarde455 2 9 3 1 9 5
Vardas456 Pavarde456 4 6 5 10 2 1
Vardas457 Pavarde457 7 10 7 5 1 3
Vardas458 Pavarde458 4 5 1 7 10 1
Vardas459 Pavarde459 4 4 10 2 9 8
Vardas460 Pavarde460 1 3 2 6 7 8
Vardas461 Pavarde461 8 9 8 2 4 5
Vardas462 Pavarde462 6 3 3 2 2 2
Vardas463 Pavarde463 3 9 3 5 10 9
Vardas464 Pavarde464 8 8 2 6 8 2
Vardas465 Pavarde465 6 2 9 3 6 8
Vardas466 Pavarde466 9 7 9 8 7 2
Vardas467 Pavarde467 2 4 3 10 5 3
Vardas468 Pavarde468 1 6 4 8 6 10
Vardas469 Pavarde469 4 3 4 1 3 9
Vardas470 Pavarde470 5 2 4 7 2 9
Vardas471 Pavarde471 3 10 9 10 1 3
Vardas472 Pavarde472 8 4 2 4 9 7
Vardas473 Pavarde473 8 10 9 4 4 1
Vardas474 Pavarde474 7 4 8 10 5 8
Vardas475 Pavarde475 8 10 2 4 7 5
Vardas476 Pavarde476 3 8 1 2 10 5
Vardas477 Pavarde477 2 7 5 6 10 3
Vardas478 Pavarde478 6 4 2 9 10 7
Vardas479 Pavarde479 5 2 5 3 10 10
Vardas480 Pavarde480 2 10 5 8 7 5
Vardas481 Pavarde481 8 9 7 2 8 8
Vardas482 Pavarde482 7 8 4 9 3 6
Vardas483 Pavarde483 6 8 6 3 7 7
Vardas484 Pavarde484 3 9 10 9 3 5
Vardas485 Pavarde485 8 10 5 9 10 8
Vardas486 Pavarde486 4 9 10 1 6 5
Vardas487 Pavarde487 7 3 6 7 3 2
Vardas488 Pavarde488 6 2 8 3 9 6
Vardas489 Pavarde489 7 2 7 6 3 1
Vardas490 Pavarde490 6 2 3 9 4 8
Vardas491 Pavarde491 6 5 10 1 10 6
Vardas492 Pavarde492 5 9 1 10 2 3
Vardas493 Pavarde493 9 4 7 1 5 8
Vardas494 Pavarde494 9 5 1 1 8 6
Vardas495 Pavarde495 1 8 9 10 9 9
Vardas496 Pavarde496 9 6 1 6 2 1
Vardas497 Pavarde497 1 7 3 8 6 4
Vardas498 Pavarde498 6 7 1 3 7 1
Vardas499 Pavarde499 7 10 2 3 5 10
Vardas500 Pavarde500 7 5 6 9 4 5
Vardas501 Pavarde501 8 10 7 3 3 2
Vardas502 Pavarde502 7 10 8 6 4 5
Vardas503 Pavarde503 10 4 2 5 2 4
Vardas504 Pavarde504 6 2 4 8 4 8
Vardas505 Pavarde505 9 2 9 8 4 7
Vardas506 Pavarde506 1 2 2 2 8 4
Vardas507 Pavarde507 5 7 5 6 8 6
Vardas508 Pavarde508 9 1 10 6 4 8
Vardas509 Pavarde509 8 9 7 6 3 10
Vardas510 Pavarde510 9 7 6 2 2 1
Vardas511 Pavarde511 6 9 9 3 4 1
Vardas512 Pavarde512 6 4 4 2 4 6
Vardas513 Pavarde513 2 5 9 4 2 4
Vardas514 Pavarde514 1 4 5 7 7 5
Vardas515 Pavarde515 9 10 8 4 9 3
Vardas516 Pavarde516 2 5 10 10 3 9
Vardas517 Pavarde517 7 10 3 10 2 8
Vardas518 Pavarde518 8 4 3 4 4 9
Vardas519 Pavarde519 8 4 9 3 8 7
Vardas520 Pavarde520 4 8 10 7 4 8
Vardas521 Pavarde521 4 2 6 8 4 3
Vardas522 Pavarde522 7 7 9 8 10 7
Vardas523 Pavarde523 1 4 7 2 1 5
Vardas524 Pavarde524 3 6 2 7 4 1
Vardas525 Pavarde525 5 8 1 4 8 1
Vardas526 Pavarde526 7 5 5 6 6 5
Vardas527 Pavarde527 1 3 4 5 6 6
Vardas528 Pavarde528 7 7 1 1 7 4
Vardas529 Pavarde529 6 9 4 3 9 5
Vardas530 Pavarde530 8 2 2 9 3 7
Vardas531 Pavarde531 4 7 8 10 3 2
Vardas532 Pavarde532 10 4 9 9 1 9
Vardas533 Pavarde533 10 6 8 3 4 4
Vardas534 Pavarde534 8 8 3 1 1 2
Vardas535 Pavarde535 8 4 4 6 4 5
Vardas536 Pavarde536 8 4 2 7 6 9
Vardas537 Pavarde537 6 10 10 6 10 3
Vardas538 Pavarde538 8 10 2 5 9 3
Vardas539 Pavarde539 3 2 10 1 2 8
Vardas540 Pavarde540 6 9 2 10 8 9
Vardas541 Pavarde541 3 1 4 7 10 7
Vardas542 Pavarde542 5 9 6 5 3 1
Vardas543 Pavarde543 5 6 6 6 7 10
Vardas544 Pavarde544 3 7 7 1 1 8
Vardas545 Pavarde545 5 3 10 5 6 5
Vardas546 Pavarde546 9 8 10 3 8 8
Vardas547 Pavarde547 3 10 8 2 9 8
Vardas548 Pavarde548 7 10 1 6 2 8
Vardas549 Pavarde549 9 8 5 5 10 4
Vardas550 Pavarde550 4 5 7 4 9 10
Vardas551 Pavarde551 7 4 10 7 9 4
Vardas552 Pavarde552 5 1 3 1 7 9
Vardas553 Pavarde553 2 2 1 3 6 3
Vardas554 Pavarde554 4 8 8 6 8 7
Vardas555 Pavarde555 6 8 2 3 10 8
Vardas556 Pavarde556 9 5 4 1 3 9
Vardas557 Pavarde557 4 1 2 10 2 6
